L2_CODE,Public Services_3_inc,Public Order and Safety_3_inc,Industrial and Economic Affairs_3_inc,Local Government and Rural Development_3_inc,Housing_3_inc,Health_3_inc,Education and Technology_3_inc,Social Security and Welfare_3_inc,Public Services_4_inc,Public Order and Safety_4_inc,Industrial and Economic Affairs_4_inc,Local Government and Rural Development_4_inc,Housing_4_inc,Health_4_inc,Education and Technology_4_inc,Social Security and Welfare_4_inc,Public Services_7_inc,Public Order and Safety_7_inc,Industrial and Economic Affairs_7_inc,Local Government and Rural Development_7_inc,Housing_7_inc,Health_7_inc,Education and Technology_7_inc,Social Security and Welfare_7_inc
5064,-0.184560204,0.043036748,-0.004135206,0.164182502,-0.031214229,0.036923535,-0.013239301,0.149592733,-0.487149476,-0.068503948,-0.357027536,0.299419118,-0.200922515,0.198811252,0.218498338,1.060125909,-0.359052402,-0.391707534,,0.208904227,,,-0.452495352,
5069,-0.232936474,0.018053338,0.098846262,0.201263246,-0.028248303,0.028682349,-0.015260695,0.042548371,-0.453121453,-0.087735671,-0.585634074,0.05504275,-0.28155529,-0.056034381,-0.04883651,1.009647338,0.350665734,-0.20659622,,,,-0.50337519,-0.147004215,
5070,-0.16895168,0.051855656,-0.017564638,-0.10883833,0.022260473,0.024844932,0.02099671,0.055568989,-0.096153347,0.011276549,-0.260411482,0.136372457,-0.442493699,-0.063100545,-0.031107859,0.875162184,-0.012719555,2.821330148,,,,,-0.480650845,
5076,-0.164849683,0.040392467,-0.023122154,0.172438031,-0.050052055,0.096310356,-0.023642986,0.152947754,-0.294199299,0.040730318,0.378895234,0.085082869,-0.14213253,0.0138715,0.069227154,0.499298935,-0.448345811,-0.243263869,,,,-0.423152377,-0.104555884,0.403026338
5081,-0.128059117,0.019399849,-0.136545756,0.07660244,-0.047828943,-0.066377794,-0.030613663,-0.134334503,-0.078320139,-0.032969635,-0.212661929,0.125529294,0.173783905,-0.267265078,0.02605816,0.216517543,-0.068103569,-0.233964151,0.060114321,,-0.344647286,-0.369426547,-0.511118033,
5088,-0.187918324,0.067862351,-0.020978005,0.045703845,-0.027603737,0.01495964,0.016639948,0.078879935,-0.20701025,0.890175242,-0.712045811,0.078375218,-0.227891873,-0.107124451,0.05467497,0.353160363,-0.018346251,1.17081293,,,,-0.648911603,-0.403758497,
5527,-0.175144409,-0.023981033,-0.047582982,0.101791654,-0.059413915,0.067148724,-0.041049898,0.020213791,-0.31685306,0.025377101,0.075749454,0.274274594,-0.301876335,0.080664921,-0.079870811,0.470321811,0.267069051,-0.27160005,,,,0.148660087,-0.012751901,
5532,-0.217566186,0.036779738,-0.030228971,-0.038544208,-0.005471916,-0.000927999,-0.017200659,0.101532979,-0.325184118,0.089156706,-0.135928336,0.215487205,0.390332016,0.066447554,-0.043537044,0.223154846,-0.274418746,2.384226862,,-0.224576212,-0.576971642,-0.493407883,-0.020788532,-0.653460509
5549,2.651221745,13.61755415,,3.918766842,,1.315841379,1.245062136,1.973487006,3.132557001,3.451850798,3.586248545,4.132545777,,1.150292313,1.477419076,1.652489943,,,,0.542566225,,5.190849524,-0.255181718,-0.073191304
5552,-0.173726926,0.00732083,0.042979598,0.027122333,0.012606242,0.021304827,0.039364092,0.021796,-0.395222,-0.00763336,-0.693212742,0.578130888,-0.389477353,0.069915523,0.159122046,0.265746968,-0.679190731,-0.074344769,,0.053332116,,0.850525451,-0.128163081,
5573,-0.140858583,0.047036924,0.028846964,0.186211181,0.097169117,0.116397236,0.233563751,0.07752941,-0.038660247,0.217931714,0.069999197,0.198110208,0.463423352,0.098426088,0.338569918,0.556225495,0.045306612,-0.246272772,,0.923112535,,0.180708745,-0.433861483,-0.785758563
5577,-0.135529901,-0.008757063,0.01017236,-0.124273851,0.055349289,0.05575324,0.067355218,0.051817029,0.425648703,-0.185895651,-0.161147076,0.229725714,-0.345719827,0.206973928,-0.045482197,0.749479523,0.050562788,-0.386466687,,,,0.970002093,0.086443428,-0.749733049
5585,-0.030935905,0.052710476,-0.049957231,0.021477665,-0.071941925,0.080229546,-0.015371788,2.088657305,-0.001449218,0.059801631,0.155191668,0.39503168,-0.300539271,0.065034381,0.005948443,0.092002253,1.089605942,-0.258405005,1.072407246,0.464064416,-0.221324945,-0.329488007,-0.218767713,
5594,-0.139188119,0.009407622,-0.071100271,-0.047319762,-0.003112143,-0.038481415,0.005535024,0.067286161,-0.27838531,-0.136432008,-0.177560162,0.082999,-0.156291103,0.038846581,0.342489226,0.494695369,0.506700541,0.262425625,-0.306708198,0.766039352,0.101212824,-0.129470481,-0.116791085,-0.015978472
6036,-0.214240566,0.005336216,0.108209619,0.139227502,-0.078815571,0.06765645,0.036268389,0.053298052,-0.376974239,-0.097298899,-0.251429611,0.413615243,0.530697513,-0.160149985,0.169924792,0.80262131,-0.030849683,0.228786338,,-0.424294301,,,-0.449393588,0.166208701
6058,-0.191404949,0.019788362,-0.049001008,-0.040502436,-0.054888287,0.065837957,-0.002449365,0.129674218,-0.217849961,0.401447949,-0.154553235,0.445221064,0.221567515,0.02563742,0.249534343,0.545141244,-0.124832128,0.601559514,,,,,-0.558068282,
6090,-0.209845937,0.006011752,0.000167004,-0.002835305,0.051191117,0.014116744,0.02687571,-0.060248871,-0.330636899,-0.02992065,0.455607584,0.049053799,-0.100255006,-0.045755844,0.210808835,0.552890592,0.182642851,-0.155001517,,,,,-0.611181936,-0.711016616
